Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
"NBCC","https://scanx.trade/company/nbcc-ltd","121.95","-0.12%","121.65","7,49,481","32,926.50","53.55","40.63","130.60","70.82","4.50%","13.45%","38.06%","384.51%","518.09%","12.34","0.55%","13.09%","26.58%","3.11","113.94","108.01","63.82","69.79%","-"
"Godrej Industries","https://scanx.trade/company/godrej-industries-ltd","967.35","-2.69%","994.20","11,050","32,580.65","17.20","200.61","1,391.50","764.45","-7.89%","-18.95%","-20.08%","124.89%","124.42%","3.22","-","3.94%","10.53%","6.07","1,048.43","1,141.13","28.95","65.77%","-"
"ACC","https://scanx.trade/company/acc-ltd","1,733.30","0.43%","1,725.90","20,794","32,549.17","9.71","30.76","2,123.30","1,722.05","-6.30%","-4.28%","-15.94%","-29.22%","7.27%","1.63","0.44%","14.31%","16.38%","107.42","1,822.56","1,872.89","33.55","76.00%","-"
"Motherson Sumi Wiring","https://scanx.trade/company/motherson-sumi-wiring-ltd","48.91","4.26%","45.96","28,30,732","32,435.46","50.99","174.46","50.50","30.71","7.07%","5.21%","26.51%","26.81%","63.80%","16.89","0.50%","38.07%","43.19%","1.50","46.63","41.96","62.58","60.00%","-"
"Tata Elxsi","https://scanx.trade/company/tata-elxsi-ltd","5,192.55","-2.32%","5,301.30","12,561","32,345.72","49.38","39.80","6,966.00","4,601.05","0.69%","-2.04%","-24.96%","-16.97%","180.07%","12.25","1.41%","36.00%","52.73%","126.48","5,268.99","5,661.30","48.31","76.00%","-"
"Go Digit General Insurance","https://scanx.trade/company/go-digit-general-insurance-ltd","346.50","1.04%","343.60","3,291","31,992.72","62.35","-4.58","380.70","264.80","-3.17%","1.54%","6.62%","13.33%","13.33%","6.84","-","5.31%","-3.88%","2.45","351.53","338.06","49.06","60.00%","-"
"KPIT Technologies","https://scanx.trade/company/kpit-technologies-ltd","1,166.40","-1.80%","1,182.65","19,574","31,976.13","42.14","39.80","1,500.00","1,020.60","-4.56%","-3.56%","-20.63%","62.53%","785.31%","9.97","0.71%","27.67%","35.48%","24.17","1,200.17","1,241.39","41.29","73.78%","-"
"Aster DM Healthcare","https://scanx.trade/company/aster-dm-healthcare-ltd","611.85","0.04%","603.05","58,286","31,701.24","86.88","-80.64","732.00","386.15","-8.08%","-1.84%","17.89%","164.30%","272.40%","7.57","0.79%","4.07%","10.39%","2.47","657.75","593.56","41.68","60.00%","-"
"Apollo Tyres","https://scanx.trade/company/apollo-tyres-ltd","496.10","-0.11%","496.10","42,581","31,507.36","39.80","35.08","540.50","368.00","-3.44%","6.49%","-7.62%","51.92%","174.47%","2.03","1.01%","12.39%","9.99%","26.73","513.77","472.97","39.91","71.32%","-"
"KPR Mill","https://scanx.trade/company/kpr-mill-ltd","920.25","-3.62%","947.50","1,18,686","31,455.43","38.97","24.75","1,395.40","758.80","-14.71%","-16.45%","-7.72%","77.24%","427.15%","6.10","0.52%","18.48%","21.45%","23.57","1,032.47","1,058.98","29.29","60.00%","-"
"Navin Fluorine International","https://scanx.trade/company/navin-fluorine-international-ltd","6,128.85","4.06%","5,865.00","20,983","31,383.25","67.96","200.61","6,220.00","3,183.20","6.86%","34.66%","90.54%","50.82%","134.24%","8.38","0.12%","11.35%","11.70%","44.02","5,757.77","4,899.30","59.72","70.28%","-"
"AWL Agri Business","https://scanx.trade/company/adani-wilmar-ltd","239.80","0.97%","238.90","1,36,991","31,166.29","28.48","8.99","337.00","231.55","-7.47%","-8.16%","-27.22%","-60.37%","-9.58%","3.12","-","2.05%","21.70%","4.57","259.36","262.41","36.52","60.00%","-"
"Global Health","https://scanx.trade/company/global-health-ltd","1,156.00","0.12%","1,163.25","6,584","31,072.17","55.27","-80.64","1,455.85","995.05","-7.20%","-12.40%","7.18%","147.94%","178.12%","8.37","-","13.43%","17.18%","17.97","1,229.69","1,261.57","40.15","60.00%","-"
"CRISIL","https://scanx.trade/company/crisil-ltd","4,215.90","-2.09%","4,252.00","3,539","30,830.88","42.03","40.63","6,955.40","3,893.85","-4.79%","-8.02%","-29.59%","40.66%","121.99%","11.18","1.30%","30.08%","32.65%","88.88","4,585.25","4,933.00","35.30","68.94%","-"
"Exide Industries","https://scanx.trade/company/exide-industries-ltd","357.85","-1.09%","360.45","45,417","30,417.25","38.70","174.46","432.15","327.95","-4.54%","-7.96%","-13.06%","101.95%","86.87%","2.09","0.55%","6.84%","8.57%","10.29","376.26","382.52","36.20","76.00%","-"
"Delhivery","https://scanx.trade/company/delhivery-ltd","402.50","-0.67%","400.65","31,062","30,083.46","219.03","40.63","489.95","236.80","-5.59%","-8.54%","15.83%","20.96%","-25.08%","3.18","-","-2.72%","2.66%","-","429.89","393.69","42.07","75.00%","-"
"Sona BLW Precision Forgings","https://scanx.trade/company/sona-blw-precision-forgings-ltd","478.90","0.30%","482.25","48,016","29,774.22","48.92","174.46","607.15","379.80","-6.38%","18.25%","-20.06%","14.82%","31.98%","5.20","0.67%","18.49%","13.84%","9.41","488.48","475.04","43.88","75.15%","-"
"LIC Housing Finance","https://scanx.trade/company/lic-housing-finance-ltd","536.00","-0.50%","538.15","11,913","29,483.38","5.37","16.44","646.60","483.50","-2.38%","-5.51%","-9.22%","28.72%","47.50%","0.77","1.86%","15.12%","9.65%","86.33","554.72","577.13","44.35","76.00%","-"
"Honeywell Automation","https://scanx.trade/company/honeywell-automation-ltd","33,033.00","0.21%","32,963.45","92","29,206.20","56.46","30.46","43,799.90","31,501.70","-7.05%","-8.49%","-20.69%","-19.50%","-10.63%","6.96","0.32%","13.90%","17.18%","604.64","35,142.69","36,462.73","30.53","72.09%","-"
"SJVN","https://scanx.trade/company/sjvn-ltd","73.20","0.10%","73.06","2,86,653","28,766.10","51.50","10.15","112.40","69.82","-6.00%","-18.72%","-29.31%","112.79%","189.33%","1.97","2.00%","9.81%","4.47%","2.35","80.01","91.49","40.06","71.64%","-"
"Inventurus Knowledge Solutions","https://scanx.trade/company/inventurus-knowledge-solutions-ltd","1,666.85","0.37%","1,651.70","1,990","28,598.67","46.75","39.80","2,023.95","1,226.15","-0.79%","10.80%","-12.94%","-14.97%","-14.97%","12.72","-","-","27.50%","-","1,632.84","1,575.16","50.45","65.00%","-"
"J B Chemicals and Pharmaceuticals","https://scanx.trade/company/jb-chemicals-pharmaceuticals-ltd","1,812.90","0.74%","1,800.05","3,393","28,389.33","39.24","17.47","1,916.85","1,303.00","2.39%","6.01%","-2.70%","87.53%","257.10%","7.41","0.86%","18.90%","-","37.83","1,766.75","1,691.13","57.24","70.43%","-"
"ZF Commercial","https://scanx.trade/company/wabco-india-ltd","14,881.00","0.86%","14,555.80","1,125","28,225.66","57.94","174.46","15,805.00","9,566.75","12.72%","19.39%","24.89%","70.05%","163.17%","8.20","0.13%","14.57%","18.66%","214.21","13,661.50","13,294.03","57.75","68.36%","-"
"Aegis Vopak Terminals","https://scanx.trade/company/aegis-vopak-terminalsltd","253.90","2.67%","243.05","29,887","28,131.90","151.72","40.63","302.00","220.00","-2.57%","0.81%","4.94%","4.94%","4.94%","5.78","-","-","6.14%","-","263.87","-","48.09","60.00%","-"
"Ather Energy","https://scanx.trade/company/ather-energy-ltd","732.35","2.04%","715.65","3,03,843","27,754.08","-35.81","11.61","790.00","287.30","1.93%","26.08%","142.10%","142.10%","142.10%","10.06","-","-","-75.66%","-","685.52","-","63.34","50.00%","-"
"Garden Reach Shipbuilders","https://scanx.trade/company/garden-reach-shipbuilders-ltd","2,414.55","-2.79%","2,490.00","1,21,913","27,659.15","46.16","40.63","3,535.00","1,180.10","-13.55%","-3.16%","47.44%","406.46%","1,124.42%","12.39","0.56%","16.14%","32.36%","32.11","2,583.73","2,473.06","44.94","0.00%","-"
"Gland Pharma","https://scanx.trade/company/gland-pharma-ltd","1,678.10","1.71%","1,644.00","5,878","27,647.78","34.39","24.90","2,130.00","1,200.00","-4.62%","-16.57%","-5.86%","6.09%","-28.56%","2.84","1.09%","8.85%","11.44%","43.83","1,791.35","1,763.75","40.97","69.35%","-"
"TVS Holdings","https://scanx.trade/company/tvs-holdings-ltd","13,576.00","-1.94%","13,800.85","1,074","27,467.10","9.71","-4.58","16,150.00","7,755.00","-5.56%","5.69%","29.17%","151.93%","151.93%","5.08","0.67%","25.49%","15.27%","445.96","14,714.13","11,952.82","34.79","50.00%","-"
"PTC Industries","https://scanx.trade/company/ptc-industries-ltd","18,067.45","-5.86%","19,438.95","2,841","27,072.49","463.23","21.23","19,397.80","9,786.30","-0.50%","18.86%","33.84%","606.30%","5,536.92%","20.31","-","8.42%","5.96%","24.81","17,692.48","15,236.19","50.95","50.00%","-"
"Gujarat Gas","https://scanx.trade/company/gujarat-gas-ltd","390.25","0.12%","389.20","8,800","26,864.42","24.03","40.63","517.50","360.60","-1.40%","-8.24%","-21.69%","-18.38%","2.62%","3.08","1.49%","21.75%","16.33%","17.68","402.09","433.14","42.86","70.67%","-"
"Indraprastha Gas","https://scanx.trade/company/indraprastha-gas-ltd","191.25","-1.92%","194.90","1,29,370","26,775.03","17.15","40.63","229.20","172.00","-4.11%","-7.47%","-6.04%","-5.90%","-25.16%","2.43","3.59%","20.67%","19.46%","27.78","201.09","204.37","44.22","73.97%","-"
"Gillette","https://scanx.trade/company/gillette-india-ltd","8,196.25","-1.74%","8,345.00","1,039","26,707.66","47.36","47.59","11,505.00","7,413.00","-5.58%","-13.72%","-13.75%","65.08%","40.84%","23.38","1.34%","35.97%","49.54%","118.90","8,532.19","9,260.02","45.90","69.43%","-"
"Emcure Pharmaceuticals","https://scanx.trade/company/emcure-pharmaceuticals-(employee)ltd","1,403.00","-0.12%","1,399.20","5,067","26,588.02","32.49","17.47","1,524.85","890.00","-0.84%","10.23%","-3.72%","3.25%","3.25%","5.61","0.21%","16.90%","20.62%","26.63","1,382.19","1,284.84","51.14","60.00%","-"
"Asahi India Glass","https://scanx.trade/company/asahi-india-glass-ltd","1,035.15","7.59%","966.05","33,209","26,388.79","79.38","31.31","1,072.95","576.60","1.55%","18.09%","36.28%","100.32%","281.62%","6.63","0.20%","13.95%","13.02%","12.43","985.59","827.24","57.17","60.00%","-"
"Kaynes Technology India","https://scanx.trade/company/kaynes-technology-ltd","3,936.30","-1.28%","3,988.20","68,319","26,386.85","70.59","30.46","7,824.95","3,713.75","-28.31%","-44.17%","-45.19%","426.91%","470.40%","5.71","-","9.91%","15.98%","32.73","5,508.02","5,875.51","29.34","69.50%","-"
"Star Health Insurance","https://scanx.trade/company/star-health-insurance-ltd","447.70","1.36%","441.80","24,113","26,322.52","48.75","-4.58","533.90","330.05","-8.29%","1.90%","-7.08%","-22.74%","-50.63%","3.49","-","9.40%","-15.32%","14.96","481.54","438.51","34.74","60.00%","-"
"Nuvama Wealth Management","https://scanx.trade/company/nuvama-wealth-management-ltd","1,457.20","-0.17%","1,450.20","18,861","26,276.41","25.89","-4.58","1,702.00","913.56","-2.31%","15.86%","6.00%","184.15%","184.15%","7.04","1.96%","21.55%","23.65%","203.79","1,451.25","1,368.15","50.95","50.00%","-"
"Manappuram Finance","https://scanx.trade/company/manappuram-finance-ltd","309.80","-0.16%","308.95","1,51,816","26,222.55","61.81","-4.58","318.80","169.10","8.74%","9.68%","63.96%","178.10%","86.29%","2.07","1.29%","18.98%","10.79%","26.55","282.51","262.46","69.95","73.96%","-"
"Syngene International","https://scanx.trade/company/syngene-international-ltd","644.85","-1.44%","653.00","4,798","25,983.55","56.30","40.63","895.85","598.55","-0.62%","4.89%","-25.08%","11.72%","7.61%","5.57","0.19%","11.98%","13.20%","11.85","645.84","656.69","48.17","76.00%","-"
"Tata Technologies","https://scanx.trade/company/tata-technologies-ltd","639.10","-1.85%","649.20","34,962","25,929.04","38.10","39.80","912.65","595.05","-5.88%","-5.54%","-28.45%","-51.37%","-51.37%","7.41","1.80%","21.09%","23.64%","16.02","673.12","692.63","36.76","75.00%","-"
"HBL Engineering","https://scanx.trade/company/hbl-power-systems-ltd","933.50","0.95%","925.60","1,79,471","25,876.15","40.05","174.46","1,121.95","404.30","5.24%","14.94%","52.26%","37.98%","37.98%","12.91","0.11%","10.35%","24.90%","11.84","911.32","705.26","63.24","61.74%","-"
"Force Motors","https://scanx.trade/company/force-motors-ltd","19,840.95","4.48%","19,039.60","13,435","25,858.54","23.23","766.77","21,999.95","6,128.55","11.43%","17.27%","206.74%","1,324.90%","1,359.91%","7.14","0.21%","17.20%","37.08%","330.24","17,520.80","14,908.74","74.21","50.00%","-"
"Anand Rathi Wealth","https://scanx.trade/company/anand-rathi-wealth-ltd","3,103.00","0.51%","3,087.50","12,817","25,761.30","74.32","-4.58","3,323.85","1,586.05","7.37%","10.47%","57.30%","786.62%","963.58%","31.70","0.45%","34.14%","54.40%","58.61","3,012.28","2,474.20","66.12","60.00%","-"
"IIFL Finance","https://scanx.trade/company/iifl-finance-ltd","600.00","1.00%","593.00","77,477","25,499.44","24.64","-4.58","607.40","280.95","3.65%","36.64%","45.44%","28.56%","447.65%","1.95","-","15.76%","8.01%","38.34","551.84","460.73","64.90","71.28%","-"
"IRB Infrastructure Developers","https://scanx.trade/company/irb-infrastructure-developers-ltd","42.17","1.27%","41.56","6,64,449","25,466.46","3.82","-2.81","60.94","40.54","-1.68%","3.28%","-24.20%","45.82%","284.41%","1.23","0.72%","5.38%","17.25%","1.01","43.05","45.52","49.05","72.55%","-"
"The New India Assurance Company","https://scanx.trade/company/the-new-india-assurance-co-ltd","152.95","-0.03%","152.35","67,967","25,206.16","21.70","-4.58","214.75","135.05","-10.42%","-18.45%","-23.33%","32.48%","17.20%","0.88","1.18%","4.09%","-4.80%","6.65","172.91","179.15","33.05","63.68%","-"
"Affle 3i","https://scanx.trade/company/affle-india-ltd","1,782.40","1.37%","1,758.00","9,249","25,067.71","58.98","39.80","2,186.80","1,221.05","7.36%","-9.05%","-0.75%","65.57%","135.07%","7.60","-","16.73%","16.04%","22.65","1,750.38","1,801.01","60.01","60.00%","-"
"Mangalore Refinery & Petroleum","https://scanx.trade/company/mrpl-mangalore-refinery-petroleum-ltd","142.65","-1.07%","142.90","58,104","25,000.82","24.40","12.52","185.00","98.95","-9.63%","6.22%","0.46%","157.49%","315.89%","1.90","-","27.08%","5.08%","15.18","158.62","140.67","34.09","63.33%","-"
"PNB Housing Finance","https://scanx.trade/company/pnb-housing-finance-ltd","950.85","1.84%","940.00","53,146","24,770.46","11.32","16.44","1,141.85","746.10","5.01%","9.31%","9.01%","128.52%","217.60%","1.35","0.53%","10.07%","9.27%","61.35","908.58","938.02","58.72","73.81%","-"
"Ramco Cements","https://scanx.trade/company/ramco-cements-ltd","1,048.00","-0.79%","1,043.55","1,695","24,763.44","67.54","1,099.75","1,206.60","788.75","1.02%","5.04%","9.62%","49.85%","34.54%","3.30","0.19%","5.43%","6.48%","13.66","1,028.98","1,021.76","53.27","72.46%","-"
"Aegis Logistics","https://scanx.trade/company/aegis-logistics-ltd","705.00","-1.06%","713.00","11,005","24,745.50","27.89","39.99","1,035.70","610.50","-7.66%","-4.70%","-13.45%","110.67%","145.90%","4.21","1.12%","15.07%","11.67%","16.66","763.68","769.41","30.90","61.35%","-"
"Sagility","https://scanx.trade/company/sagility-india-ltd","52.19","-0.08%","52.31","15,66,692","24,431.85","30.54","39.80","57.90","37.61","4.30%","21.54%","-1.73%","77.76%","77.76%","2.75","-","-","8.91%","-","50.28","44.84","58.37","60.00%","-"
"Dr. Lal Path Labs","https://scanx.trade/company/dr-lal-pathlabs-ltd","1,456.70","1.90%","1,436.00","19,842","24,407.16","44.37","-80.64","1,771.30","1,147.55","-4.58%","-7.00%","-1.77%","27.52%","25.92%","10.03","0.84%","19.22%","27.96%","45.65","1,513.62","1,483.91","48.52","71.39%","-"
