Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
"Wockhardt","https://scanx.trade/company/wockhardt-ltd","1,378.50","-3.21%","1,423.05","65,230","22,399.55","-453.55","17.47","1,870.00","1,109.60","11.75%","-11.95%","-2.79%","514.03%","193.34%","5.07","-","-12.89%","3.91%","-","1,351.85","1,455.86","49.81","59.62%","-"
"AstraZeneca Pharma","https://scanx.trade/company/astrazeneca-pharma-india-ltd","8,896.00","-1.50%","9,068.50","1,134","22,240.00","113.38","46.86","10,653.05","6,301.00","-1.68%","0.11%","21.40%","169.76%","95.99%","28.26","0.35%","22.69%","19.36%","52.40","9,160.51","8,859.65","41.12","60.00%","-"
"City Union Bank","https://scanx.trade/company/city-union-bank-ltd","298.10","-0.03%","300.40","1,08,504","22,090.67","18.32","9.55","301.00","144.00","10.14%","41.88%","72.76%","67.52%","65.43%","2.23","0.67%","12.09%","6.36%","14.22","263.13","212.34","69.26","69.87%","-"
"Amber Enterprises","https://scanx.trade/company/amber-enterprises-india-ltd","6,269.15","-3.39%","6,549.95","5,920","22,035.40","99.55","30.46","8,625.00","5,238.45","-12.85%","-23.81%","-14.69%","229.50%","163.29%","6.26","-","6.59%","14.95%","47.37","7,241.50","7,157.68","30.36","69.46%","-"
"CESC","https://scanx.trade/company/cesc-ltd","165.40","0.39%","164.80","78,744","21,924.93","14.40","10.15","192.30","119.00","-3.08%","2.00%","-10.64%","115.22%","173.21%","1.72","2.75%","12.08%","9.56%","10.61","172.77","166.02","41.20","74.93%","-"
"Angel One","https://scanx.trade/company/angel-broking-ltd","2,369.90","-1.65%","2,409.55","67,063","21,487.55","27.98","-4.58","3,283.00","1,942.00","-12.32%","11.55%","-19.09%","77.73%","603.55%","3.77","1.98%","37.04%","33.08%","132.93","2,601.87","2,553.55","34.36","69.05%","-"
"eClerx Services","https://scanx.trade/company/eclerx-eclerx-services-ltd","4,473.25","-3.18%","4,581.45","3,552","21,315.20","35.81","39.80","4,953.25","2,116.00","-1.69%","10.41%","28.04%","248.97%","637.87%","8.39","0.02%","28.50%","27.85%","105.67","4,555.69","3,754.34","45.26","67.08%","-"
"Brigade Enterprises","https://scanx.trade/company/brigade-enterprises-ltd","870.95","-0.77%","874.05","3,268","21,293.25","26.39","-2.81","1,332.35","812.85","-2.74%","-1.89%","-29.00%","85.07%","257.68%","3.31","0.28%","11.27%","12.78%","21.49","928.12","996.47","42.75","67.19%","-"
"Inox Wind","https://scanx.trade/company/inox-wind-ltd","121.80","-2.25%","124.45","2,19,775","21,049.94","41.53","3.54","198.14","118.35","-9.44%","-12.34%","-31.80%","350.44%","731.97%","3.30","-","-29.66%","12.30%","0.66","138.33","154.76","31.41","67.59%","-"
"Redington","https://scanx.trade/company/redington-ltd","268.45","0.11%","268.15","2,66,116","20,986.73","11.01","39.99","334.90","181.25","-4.53%","-8.02%","42.38%","47.82%","302.90%","2.33","2.54%","15.75%","27.87%","15.55","276.78","267.95","41.38","64.86%","-"
"Welspun Corp","https://scanx.trade/company/welspun-corp-ltd","792.80","-4.21%","829.95","46,806","20,898.75","10.09","23.17","994.60","665.70","-7.36%","-6.29%","-1.50%","250.49%","505.42%","2.66","0.60%","4.11%","28.96%","45.48","855.67","857.99","40.68","65.52%","-"
"Aadhar Housing Finance","https://scanx.trade/company/aadhar-housing-finance-ltd","482.35","1.29%","479.55","12,158","20,890.23","20.91","16.44","547.75","340.50","0.22%","-5.63%","11.27%","46.37%","46.37%","3.00","-","14.73%","10.34%","18.84","493.39","479.72","46.37","60.00%","-"
"Eris Lifesciences","https://scanx.trade/company/eris-lifesciences-ltd","1,505.30","-1.41%","1,527.05","22,702","20,504.23","46.32","24.90","1,909.55","1,130.05","-5.64%","-4.57%","9.12%","136.55%","159.04%","6.73","0.48%","16.85%","12.74%","27.95","1,587.57","1,596.22","38.06","68.93%","-"
"Bayer Crop Science","https://scanx.trade/company/bayer-crop-science-ltd","4,550.00","0.33%","4,521.60","3,335","20,448.65","33.47","33.47","6,539.95","4,220.05","-2.08%","-7.27%","-17.02%","-7.10%","-16.81%","6.53","2.75%","25.99%","23.97%","148.24","4,609.06","5,170.79","55.10","70.34%","-"
"Cohance Lifesciences","https://scanx.trade/company/suven-pharmaceuticals-ltd","530.20","-0.39%","532.70","12,050","20,283.71","64.99","17.47","1,328.20","518.00","-6.05%","-39.31%","-53.57%","7.75%","14.75%","5.38","-","14.64%","13.36%","9.45","635.42","921.08","30.39","60.00%","-"
"Onesource Specialty Pharma","https://scanx.trade/company/onesource-specialty-pharma-ltd","1,756.05","-0.48%","1,768.30","5,601","20,111.20","505.62","17.47","2,249.65","1,163.05","14.11%","-1.96%","3.14%","3.14%","3.14%","3.42","-","-","1.54%","-","1,721.45","1,789.19","59.47","60.00%","-"
"Kalpataru Projects International","https://scanx.trade/company/kalpataru-power-transmission-ltd","1,166.20","-2.34%","1,194.30","7,661","19,915.49","25.22","17.92","1,340.95","770.05","-2.79%","-4.77%","-8.72%","121.63%","121.63%","2.93","0.75%","10.09%","16.19%","30.04","1,217.33","1,152.76","44.46","66.87%","-"
"Credit Access Grameen","https://scanx.trade/company/creditaccess-grameen-ltd","1,235.50","-3.39%","1,275.05","8,511","19,749.34","153.15","-4.58","1,489.10","750.05","-7.51%","-7.54%","36.00%","37.06%","57.91%","2.86","-","22.01%","9.69%","93.77","1,335.83","1,243.89","38.14","63.87%","-"
"KEC International","https://scanx.trade/company/kec-international-ltd","732.95","-0.24%","739.70","14,264","19,511.13","28.63","17.92","1,242.60","605.05","6.90%","-12.30%","-38.81%","45.15%","98.77%","3.47","0.75%","8.47%","23.37%","15.25","750.16","804.87","53.19","64.72%","-"
"DCM Shriram Consolidated","https://scanx.trade/company/dcm-shriram-consolidated-ltd","1,246.75","0.13%","1,211.55","532","19,442.11","27.21","27.21","1,501.70","904.55","2.10%","7.49%","14.28%","44.47%","221.20%","2.69","0.73%","6.86%","11.19%","31.47","1,237.47","1,192.05","52.90","66.49%","-"
"Neuland Laboratories","https://scanx.trade/company/neuland-laboratories-ltd","14,990.00","0.37%","15,023.05","1,480","19,232.00","79.79","40.11","19,748.40","10,060.00","-13.56%","3.94%","8.44%","787.51%","1,228.25%","11.83","0.08%","23.39%","20.69%","249.83","16,469.88","13,887.78","35.93","36.00%","-"
"Sai Life Sciences","https://scanx.trade/company/sai-life-sciences-ltd","914.05","3.16%","890.35","19,379","19,126.43","65.34","24.90","943.00","635.30","3.29%","3.50%","22.56%","19.44%","19.44%","8.25","-","-","12.52%","-","889.07","813.21","57.18","65.00%","-"
"Tata Chemicals","https://scanx.trade/company/tata-chemicals-ltd","748.65","-1.65%","757.30","29,875","19,072.33","48.48","200.61","1,060.40","745.20","-6.48%","-19.12%","-27.40%","-19.41%","55.00%","0.87","1.45%","1.94%","3.43%","29.55","818.94","883.02","33.02","76.00%","-"
"Bikaji Foods International","https://scanx.trade/company/bikaji-foods-international-ltd","757.40","-0.37%","764.75","14,393","18,979.89","93.39","17.80","820.85","520.00","5.49%","4.41%","-2.08%","78.15%","138.59%","12.71","0.13%","13.30%","16.94%","11.29","725.77","731.70","63.82","60.00%","-"
"Chalet Hotels","https://scanx.trade/company/chalet-hotels-ltd","867.65","-0.31%","869.95","1,885","18,974.24","32.92","282.29","1,080.00","643.65","-1.97%","-9.50%","-11.44%","153.14%","376.86%","5.57","-","15.03%","12.21%","11.47","902.69","904.75","43.58","68.91%","-"
"Gujarat Mineral Development Corporation","https://scanx.trade/company/gujarat-mineral-development-corporation-ltd","595.75","-0.21%","592.90","4,57,915","18,944.85","18.92","-96.54","651.45","226.20","10.46%","-1.23%","87.43%","311.43%","1,069.28%","2.82","1.69%","20.97%","12.42%","18.32","548.79","439.03","65.63","62.20%","-"
"Chambal Fertilisers & Chemicals","https://scanx.trade/company/chambal-fertilisers-chemicals-ltd","472.80","-0.51%","474.90","1,24,994","18,942.84","10.22","33.66","742.45","410.15","7.48%","-7.08%","-3.54%","55.35%","100.00%","1.94","2.10%","17.58%","24.43%","34.58","460.16","546.42","64.61","73.76%","-"
"RBL Bank","https://scanx.trade/company/rbl-bank-ltd","308.80","1.50%","302.75","2,08,517","18,930.08","34.69","9.55","331.80","146.00","-1.09%","11.06%","96.88%","75.01%","32.67%","1.16","0.32%","8.49%","5.64%","21.30","312.10","252.35","53.97","57.29%","-"
"KFin Technologies","https://scanx.trade/company/kfin-technologies-ltd","1,088.60","-0.60%","1,081.10","16,922","18,752.53","54.62","40.63","1,640.00","783.90","3.02%","2.41%","-30.56%","199.07%","199.07%","12.91","0.68%","21.56%","28.63%","15.80","1,085.37","1,118.82","53.80","68.53%","-"
"Anant Raj","https://scanx.trade/company/anant-raj-industries-ltd","544.60","1.76%","537.60","1,03,470","18,693.97","39.04","-2.81","947.25","366.15","-5.52%","-22.05%","-36.23%","416.45%","1,873.19%","3.50","0.13%","7.18%","10.57%","8.81","586.68","555.99","45.68","50.00%","-"
"Castrol","https://scanx.trade/company/castrol-india-ltd","188.45","-0.89%","189.80","1,23,197","18,640.01","19.27","200.61","252.00","162.80","-1.90%","-3.75%","-2.31%","52.28%","54.53%","10.34","6.84%","40.73%","53.57%","8.95","191.33","205.44","49.63","67.54%","-"
"EID Parry","https://scanx.trade/company/eid-parry-ltd","1,032.90","-2.40%","1,046.50","5,353","18,371.30","8.61","-169.88","1,246.45","639.30","0.18%","1.95%","17.91%","83.09%","209.58%","2.18","-","14.43%","20.21%","49.62","1,037.50","1,005.53","48.69","68.09%","-"
"Sarda Energy & Minerals","https://scanx.trade/company/sarda-energy-minerals-ltd","517.60","0.58%","516.05","20,019","18,239.25","17.03","25.07","639.95","397.10","5.75%","-6.49%","6.73%","416.41%","1,523.59%","2.59","0.29%","17.24%","12.51%","15.69","513.40","503.70","53.53","50.00%","-"
"Aditya Birla Real Estate","https://scanx.trade/company/century-textile-and-industries-ltd","1,632.90","-1.06%","1,650.00","5,914","18,238.79","-82.85","-2.81","2,551.00","1,564.80","-7.88%","-2.34%","-33.90%","-39.28%","-39.28%","4.88","0.12%","7.45%","-1.54%","21.24","1,735.48","1,922.65","38.24","64.39%","-"
"CAMS","https://scanx.trade/company/cams-ltd","732.15","-0.83%","738.10","79,361","18,119.39","39.84","40.63","1,057.60","606.00","-5.50%","-3.33%","-27.90%","65.70%","99.05%","15.03","1.96%","38.33%","49.51%","78.32","769.74","778.19","38.00","74.00%","-"
"TBO Tek","https://scanx.trade/company/tbo-tek-ltd","1,650.00","-1.32%","1,679.40","1,091","17,916.98","75.83","53.51","1,844.55","985.70","-0.14%","11.85%","-5.63%","17.45%","17.45%","13.10","-","36.82%","21.62%","19.78","1,633.70","1,412.82","47.42","60.00%","-"
"Atul","https://scanx.trade/company/atul-ltd","6,051.00","-1.61%","6,164.50","941","17,815.21","32.22","200.61","7,793.00","4,882.00","3.05%","0.49%","-11.60%","-27.45%","-5.25%","3.06","0.41%","6.28%","11.71%","112.61","5,902.37","6,375.61","55.61","70.29%","-"
"Kirloskar Oil Engines","https://scanx.trade/company/kirloskar-oil-engines-ltd","1,224.10","-0.13%","1,219.15","21,105","17,782.44","36.17","59.81","1,329.10","544.15","8.88%","32.91%","20.36%","288.79%","852.61%","5.28","0.53%","16.53%","16.14%","33.13","1,100.26","910.03","55.88","60.00%","-"
"Godawari Power & Ispat","https://scanx.trade/company/godawari-power-ispat-ltd","262.85","2.56%","255.85","1,75,801","17,600.88","23.05","25.07","290.00","145.55","11.73%","5.44%","31.85%","255.92%","1,075.01%","2.99","0.85%","20.10%","21.98%","72.91","253.29","216.91","62.82","60.00%","-"
"Devyani International","https://scanx.trade/company/devyani-international-ltd","142.60","-0.18%","141.20","1,01,506","17,567.43","-386.08","282.29","209.65","122.70","5.20%","-16.07%","-22.10%","-22.71%","15.61%","11.34","-","-0.72%","6.57%","0.66","145.17","162.79","55.10","60.00%","-"
"Netweb Technologies","https://scanx.trade/company/netweb-technologies-ltd","3,096.00","0.58%","3,071.90","18,268","17,540.04","129.33","9.25","4,480.00","1,278.85","-5.90%","-13.64%","14.19%","240.03%","240.03%","30.14","0.08%","17.95%","29.28%","15.30","3,413.07","2,470.54","41.63","50.00%","-"
"Capri Global Capital","https://scanx.trade/company/capri-global-capital-ltd","181.50","3.04%","180.25","2,03,251","17,453.68","23.64","-4.58","231.70","150.60","-3.76%","-3.02%","-1.89%","0.48%","155.45%","2.54","0.10%","5.74%","9.96%","3.53","190.96","178.69","45.96","50.00%","-"
"Poly Medicure","https://scanx.trade/company/poly-medicure-ltd","1,695.10","-2.57%","1,748.15","6,784","17,175.72","48.72","-80.64","2,936.70","1,737.85","-12.92%","-12.38%","-36.62%","89.14%","223.86%","6.04","0.20%","14.44%","16.46%","28.09","1,894.47","2,098.55","25.37","50.00%","-"
"Craftsman Automation","https://scanx.trade/company/craftsman-automation-ltd","7,150.00","1.58%","7,000.60","14,367","17,056.74","69.92","174.46","7,519.00","3,700.00","1.72%","6.65%","33.26%","119.68%","398.95%","5.54","0.07%","19.26%","10.28%","118.71","6,891.68","6,086.15","54.88","66.99%","-"
"Choice International","https://scanx.trade/company/choice-international-ltd","827.50","1.19%","820.90","55,596","17,017.99","96.55","-4.58","841.00","438.00","2.37%","4.52%","53.71%","561.47%","3,090.05%","11.62","-","12.46%","20.17%","6.86","791.90","718.37","63.62","50.00%","-"
"Jubilant Pharmova","https://scanx.trade/company/jubilant-life-sciences-ltd","1,068.20","1.79%","1,049.50","3,094","17,014.41","35.24","40.11","1,250.00","823.70","-2.14%","0.63%","-2.35%","183.98%","25.87%","2.54","0.48%","1.34%","11.53%","14.96","1,099.32","1,065.26","47.44","65.08%","-"
"Triveni Turbines","https://scanx.trade/company/triveni-turbines-ltd","532.50","-2.14%","540.45","17,575","16,927.12","50.43","3.54","793.10","455.15","-0.78%","2.52%","-27.96%","105.60%","551.77%","13.31","0.74%","25.33%","38.63%","9.07","534.07","553.82","47.95","50.00%","-"
"Schneider Electric Infra","https://scanx.trade/company/schneider-electric-infrastructure-ltd","706.00","-1.59%","717.60","17,433","16,880.74","66.30","3.54","1,055.00","516.70","-1.40%","-16.80%","-8.54%","341.53%","756.28%","26.06","-","58.08%","35.47%","7.90","774.07","774.19","39.91","-","-"
"BASF","https://scanx.trade/company/basf-india-ltd","3,869.00","-1.15%","3,777.00","1,080","16,747.21","45.16","200.61","5,680.00","3,790.50","-6.98%","-12.39%","-30.29%","38.96%","136.97%","4.47","0.51%","17.47%","17.25%","129.85","4,215.85","4,609.92","32.91","66.45%","-"
"Gujarat State Petronet","https://scanx.trade/company/gujarat-state-petronet-ltd","294.20","0.32%","290.05","21,606","16,599.10","10.73","40.63","387.00","261.55","2.37%","-2.81%","-17.15%","14.36%","34.71%","1.39","1.71%","18.46%","13.15%","29.39","298.37","311.40","51.30","69.42%","-"
"Allied Blenders & Distillers","https://scanx.trade/company/allied-blenders-distillers-ltd","593.35","-1.40%","602.05","19,692","16,596.60","66.06","42.44","719.95","278.90","-9.25%","16.07%","39.91%","86.68%","86.68%","10.80","0.60%","0.39%","23.22%","0.70","629.43","482.43","37.81","60.00%","-"
"Alembic Pharmaceuticals","https://scanx.trade/company/alembic-pharmaceuticals-ltd","835.30","-0.93%","842.85","2,263","16,418.92","26.23","17.47","1,122.40","725.60","-7.93%","-6.11%","-20.11%","43.93%","-20.36%","3.12","1.30%","12.78%","14.66%","32.05","897.41","930.28","29.48","67.21%","-"
"Amara Raja Energy & Mobility","https://scanx.trade/company/amara-raja-energy-mobility-ltd","895.90","-1.05%","905.00","27,324","16,397.24","18.39","174.46","1,231.25","805.05","-5.84%","-9.64%","-24.39%","48.12%","48.12%","2.14","1.16%","13.74%","16.77%","53.17","957.91","986.72","26.75","68.46%","-"
"RR Kabel","https://scanx.trade/company/rrkabel.ltd","1,439.80","0.07%","1,435.05","11,004","16,282.16","40.30","22.19","1,563.10","750.50","2.67%","16.60%","1.49%","20.32%","20.32%","6.95","0.42%","16.30%","20.77%","25.49","1,389.66","1,260.43","52.20","60.00%","-"
"Crompton Greaves","https://scanx.trade/company/crompton-greaves-consumer-electricals-ltd","251.55","-1.47%","254.50","96,408","16,197.32","34.04","3.54","401.50","248.15","-5.18%","-14.37%","-36.25%","-25.76%","-31.76%","4.84","1.17%","12.81%","19.23%","7.36","269.29","317.01","36.15","76.00%","-"
"Maharashtra Scooters","https://scanx.trade/company/maharashtra-scooters-ltd","14,151.00","-0.09%","14,163.45","334","16,172.57","45.30","-4.58","18,526.00","8,850.00","-3.68%","-19.61%","45.81%","211.97%","273.61%","0.49","0.99%","0.74%","0.62%","193.50","14,851.07","14,163.29","43.29","50.00%","-"
"Ircon International","https://scanx.trade/company/ircon-international-ltd","171.65","-0.67%","172.50","6,29,158","16,143.95","27.17","-2.81","229.45","134.30","6.65%","1.27%","-18.05%","184.90%","292.52%","2.52","1.53%","14.65%","9.42%","10.27","162.93","173.10","60.61","60.50%","-"
"Ola Electric Mobility","https://scanx.trade/company/ola-electric-mobility-ltd","36.59","3.27%","35.51","58,70,495","16,139.23","-6.85","51.72","88.55","30.79","-11.17%","-32.20%","-57.00%","-59.87%","-59.87%","3.60","-","-78.46%","-25.40%","-","42.09","47.74","46.71","60.00%","-"
"Natco Pharma","https://scanx.trade/company/natco-pharma-ltd","897.05","0.13%","896.00","47,895","16,067.05","10.44","17.47","1,419.50","660.05","2.13%","12.45%","-35.80%","61.56%","-6.34%","1.86","0.67%","14.68%","30.12%","91.37","867.06","870.17","49.87","66.12%","-"
"Dr. Agarwal's Health Care","https://scanx.trade/company/dr-agarwals-health-care-(shareholder)ltd","506.20","0.23%","506.30","1,345","16,003.94","110.03","-80.64","567.80","327.40","-5.27%","1.29%","26.06%","26.06%","26.06%","8.28","-","-","8.41%","-","510.58","445.79","51.76","65.00%","-"
"PG Electroplast","https://scanx.trade/company/pg-electroplast-ltd","563.00","-1.94%","569.65","70,478","15,993.46","64.37","30.46","1,054.95","471.15","-4.72%","11.44%","-44.18%","406.34%","3,904.27%","5.64","0.04%","19.57%","14.42%","7.08","569.96","693.42","46.98","66.60%","-"
"Five Star Business Finance","https://scanx.trade/company/five-star-business-finance-ltd","540.75","-0.14%","548.95","35,656","15,923.40","14.43","-4.58","850.45","501.20","-8.49%","4.75%","-33.03%","-9.06%","10.47%","2.34","0.37%","9.30%","13.86%","30.90","589.31","643.79","33.80","60.00%","-"
"Nava","https://scanx.trade/company/nava-bharat-ventures-ltd","561.65","1.54%","551.25","18,111","15,894.77","12.70","29.72","735.30","356.60","7.74%","-15.74%","13.87%","372.17%","1,636.17%","1.93","1.45%","15.09%","15.42%","64.33","563.48","564.54","51.39","62.51%","-"
"Signatureglobal","https://scanx.trade/company/signature.ltd","1,125.10","-0.75%","1,130.00","13,971","15,808.86","204.61","-2.81","1,420.00","989.00","0.90%","3.74%","-15.70%","145.44%","145.44%","21.91","-","-126.98%","6.71%","2.15","1,106.61","1,142.63","51.28","50.00%","-"
"Zensar Technologies","https://scanx.trade/company/zensar-technologies-ltd","694.30","-2.63%","713.05","14,670","15,781.16","23.15","39.80","985.00","558.50","-7.33%","-7.68%","-8.66%","224.14%","192.46%","3.79","1.82%","18.67%","20.39%","29.42","742.29","770.07","33.26","66.10%","-"
"Carborundum Universal","https://scanx.trade/company/carborundum-universal-ltd","828.00","-1.34%","839.30","8,185","15,768.10","78.95","40.99","1,324.95","810.00","-3.29%","-9.23%","-34.12%","-4.83%","105.23%","4.27","0.48%","14.58%","12.27%","20.19","874.88","940.90","37.08","70.00%","-"
"Great Eastern Shipping Company","https://scanx.trade/company/great-eastern-shipping-company-ltd","1,100.80","-0.27%","1,096.75","16,133","15,715.81","7.71","20.13","1,180.70","797.25","-0.43%","12.62%","16.20%","66.15%","319.67%","1.04","2.69%","21.09%","16.61%","199.62","1,091.32","992.20","50.49","67.97%","-"
"Sobha","https://scanx.trade/company/sobha-ltd","1,456.60","-0.07%","1,462.70","1,408","15,574.59","104.86","-2.81","1,732.45","1,075.70","-5.35%","-4.27%","-6.16%","170.00%","320.70%","3.38","0.21%","1.95%","5.96%","4.55","1,534.95","1,464.11","43.81","64.63%","-"
"Kajaria Ceramics","https://scanx.trade/company/kajaria-ceramics-ltd","968.00","-0.49%","967.00","13,875","15,417.56","42.28","-25.21","1,322.00","745.00","-9.31%","-16.75%","-15.62%","-16.49%","40.31%","5.29","0.93%","16.15%","16.54%","25.39","1,103.73","1,076.09","24.28","70.59%","-"
"DOMS Industries","https://scanx.trade/company/doms-industries-ltd","2,540.00","0.41%","2,529.70","921","15,414.65","68.07","8.91","3,060.00","2,094.75","1.06%","0.87%","-4.65%","90.86%","90.86%","13.97","0.12%","28.95%","23.91%","28.07","2,542.61","2,560.19","47.98","60.00%","-"
"Deepak Fertilisers & Petrochemicals","https://scanx.trade/company/deepak-fertilisers-and-petrochemicals-ltd","1,220.00","-1.15%","1,231.35","13,153","15,401.01","15.76","200.61","1,776.95","888.25","-10.95%","-18.54%","2.31%","72.34%","684.31%","2.39","0.81%","23.51%","16.65%","41.83","1,356.46","1,406.04","36.48","62.95%","-"
"BEML","https://scanx.trade/company/beml-ltd","1,832.65","-1.54%","1,854.90","20,568","15,263.96","52.40","38.29","2,437.43","1,173.18","0.22%","-9.77%","-9.53%","148.73%","363.18%","5.54","0.54%","6.52%","11.44%","68.76","1,922.66","1,933.46","51.85","60.96%","80.00%"
"Aditya Birla Lifestyle Brands","https://scanx.trade/company/aditya-birla-lifestyle-brands-ltd","123.85","0.65%","123.90","1,04,559","15,113.35","105.17","24.75","176.10","114.90","-4.80%","-8.29%","-22.30%","-22.30%","-22.30%","11.46","-","-","12.54%","-","130.79","-","43.86","60.00%","-"
"CEAT","https://scanx.trade/company/ceat-ltd","3,715.00","-2.97%","3,826.30","15,447","15,027.21","31.37","35.08","4,431.60","2,322.05","-3.50%","10.72%","14.68%","126.72%","246.69%","3.39","0.78%","15.68%","15.23%","169.51","3,934.55","3,511.20","40.23","67.70%","-"
"JBM Auto","https://scanx.trade/company/jbm-auto-ltd","634.65","4.22%","609.50","4,62,114","15,009.11","64.64","174.46","822.00","489.30","3.44%","-6.55%","-17.09%","146.47%","1,032.49%","10.16","0.14%","12.14%","18.88%","15.40","617.28","644.94","59.80","50.00%","50.00%"
"Firstcry (Brainbees Solutions)","https://scanx.trade/company/firstcry-brainbees-solutions-ltd","286.90","0.63%","285.20","1,26,388","14,973.60","-61.18","39.99","665.15","277.00","-5.13%","-20.81%","-53.56%","-57.70%","-57.70%","3.12","-","-8.48%","-1.09%","-","318.48","353.92","39.30","60.00%","-"
"Elgi Equipments","https://scanx.trade/company/elgi-equipments-ltd","471.25","3.01%","455.05","1,01,740","14,934.34","37.23","37.74","608.25","390.05","-7.76%","-1.03%","-16.23%","9.29%","202.08%","7.22","0.48%","19.36%","26.14%","10.23","487.40","495.22","44.72","60.00%","-"
"Swan Corp","https://scanx.trade/company/swan-energy-ltd","469.50","-1.54%","475.00","37,452","14,716.80","26.65","24.75","771.35","370.00","4.68%","3.70%","-34.25%","63.93%","245.73%","2.02","0.02%","-1.63%","15.18%","9.61","457.47","446.92","55.32","50.00%","-"
"Akzo Nobel","https://scanx.trade/company/akzo-nobel-india-ltd","3,206.80","2.00%","3,143.90","82,011","14,603.87","7.19","42.75","3,942.15","3,045.95","-3.30%","-2.88%","-5.79%","44.26%","38.87%","6.35","3.18%","32.08%","39.89%","94.71","3,341.42","3,414.68","41.91","68.81%","-"
"Granules","https://scanx.trade/company/granules-india-ltd","598.65","-0.77%","602.45","20,148","14,527.36","28.55","17.47","626.85","412.05","7.58%","16.19%","2.68%","86.32%","61.69%","3.68","0.25%","12.57%","17.96%","20.30","566.38","513.28","60.00","74.22%","-"
"Data Patterns","https://scanx.trade/company/data-patterns-india-ltd","2,592.00","-2.38%","2,655.00","29,640","14,511.04","63.67","30.46","3,267.20","1,350.50","-12.83%","1.97%","7.10%","136.67%","243.38%","9.67","0.30%","2.20%","11.06%","33.70","2,777.23","2,589.48","41.59","0.00%","-"
"Gabriel","https://scanx.trade/company/gabriel-india-ltd","1,001.20","-0.28%","1,011.90","32,208","14,381.63","56.44","174.46","1,386.45","387.05","-2.65%","-17.83%","110.69%","448.00%","837.45%","11.30","0.47%","17.84%","26.70%","13.53","1,105.73","924.14","44.36","36.00%","-"
"V-Guard Industries","https://scanx.trade/company/v-guard-industries-ltd","329.65","0.78%","324.60","5,426","14,372.70","49.11","3.54","449.95","300.00","-4.30%","-10.15%","-22.41%","25.32%","75.35%","6.52","0.46%","14.20%","18.94%","6.72","348.18","364.65","40.46","71.71%","-"
"Afcons Infrastructure","https://scanx.trade/company/afcons-infrastructure-ltd","390.00","1.18%","392.15","10,10,595","14,343.60","28.22","-2.81","570.00","376.20","-3.55%","-13.64%","-25.10%","-17.82%","-17.82%","2.63","0.65%","-","15.25%","-","412.41","431.99","44.13","60.00%","-"
"Leela Palaces Hotels & Resorts","https://scanx.trade/company/schloss-bangalore-ltd","429.25","1.02%","424.00","11,277","14,335.14","55.18","282.29","475.00","381.05","4.31%","4.20%","-1.45%","-1.45%","-1.45%","2.31","-","-","7.24%","-","420.60","-","59.30","60.00%","-"
"Aptus Value Housing Finance","https://scanx.trade/company/aptus-value-housing-finance-indian-ltd","285.75","2.68%","279.75","1,59,145","14,305.74","16.53","16.44","364.85","267.75","2.35%","-10.14%","-1.97%","-8.78%","-17.53%","2.99","1.61%","16.24%","13.64%","12.85","291.32","316.95","49.78","69.65%","-"
"International Gemmological Institute","https://scanx.trade/company/international-gemmological-institute-(india)-ltd","329.70","-1.93%","336.30","9,306","14,248.31","28.44","40.63","642.30","282.00","0.38%","-4.13%","-40.44%","-29.87%","-29.87%","11.74","0.73%","-","49.46%","-","331.89","356.09","52.28","60.00%","-"
"JM Financial","https://scanx.trade/company/jm-financial-ltd","148.30","2.95%","144.00","3,23,125","14,179.89","11.85","-4.58","199.75","78.00","2.03%","-8.37%","14.38%","111.40%","77.39%","1.34","1.87%","0.25%","11.37%","12.12","151.67","145.41","53.75","63.58%","-"
"Concord Biotech","https://scanx.trade/company/concord-biotech-ltd","1,354.00","1.29%","1,326.35","5,291","14,165.03","43.23","17.47","2,451.65","1,318.80","-4.66%","-15.32%","-38.31%","43.76%","43.76%","7.65","0.65%","20.18%","26.76%","29.94","1,420.29","1,628.44","42.60","50.00%","-"
"ACME Solar Holdings","https://scanx.trade/company/acme-solar-holdings-ltd","233.75","-0.72%","232.30","18,786","14,143.93","29.73","13.76","324.25","167.55","1.70%","-16.01%","0.73%","-7.79%","-7.79%","2.98","0.08%","-","6.42%","-","246.67","252.38","48.70","60.00%","-"
"UTI AMC","https://scanx.trade/company/uti-asset-management-company-ltd","1,103.00","-0.77%","1,100.10","6,095","14,139.58","21.59","-4.58","1,494.95","906.40","-3.35%","-15.34%","-18.15%","30.03%","97.02%","3.26","4.30%","16.13%","20.36%","61.66","1,181.57","1,218.55","36.62","67.69%","-"
"Jupiter Wagons","https://scanx.trade/company/commercial-eng-co-ltd","331.35","-1.81%","335.35","3,19,395","14,065.74","52.40","38.29","524.30","247.00","16.00%","-1.05%","-32.04%","262.92%","1,562.57%","4.93","0.38%","20.29%","19.60%","8.50","299.89","343.14","64.69","60.83%","-"
"Vedant Fashions","https://scanx.trade/company/vedanta-fashions-ltd","578.50","-0.57%","576.45","2,481","14,055.07","35.09","24.75","1,301.00","576.15","-4.85%","-16.29%","-53.61%","-56.22%","-38.12%","9.25","1.37%","25.86%","27.76%","15.84","622.30","727.60","39.20","60.00%","-"
